# Enhanced Star Wars Script with Scene Context
# Format: CHARACTER | DIALOGUE | CONTEXT | MOVIE

STAR WARS | “A long time ago, in a galaxy far, far away…” | Action: A vast sea of stars serves as the backdrop for the main title. War | Star Wars A New Hope
PASSAGEWAY | An explosion rocks the ship as two robots, Artoo-Detoo and | Scene: disintegrate.  REBEL BLOCKADE RUNNER – MAIN | Action: Destroyer, causing the main solar fin of the Rebel craft to disintegrate. INT. REBEL BLOCKADE RUNNER – MAIN | Star Wars A New Hope
DAY | A death-white wasteland stretches from horizon to horizon. The | Scene: two hapless robots.  TATOOINE – DESERT WASTELAND – | Action: Artoo counters with an angry rebuttal as the battle rages around the two hapless robots. EXT. TATOOINE – DESERT WASTELAND – | Star Wars A New Hope
RUNNER | A woman’s hand puts a card into an opening in Artoo’s dome. Artoo | Scene: troops break and run in a frenzied panic.  REBEL BLOCKADE | Action: deathly quiet sweeps through the Rebel troops. Several of the Rebel troops break and run in a frenzied panic. INT. REBEL BLOCKADE | Star Wars A New Hope
RUNNER | The safety door snaps shut, and with the thunder of exploding latches | Scene: THREEPIO I’m going to regret this.  REBEL BLOCKADE | Action: electronic swearing from Artoo, the lanky robot jumps into the lifepod. THREEPIO I’m going to regret this. INT. REBEL BLOCKADE | Star Wars A New Hope
DESTROYER | On the main viewscreen, the lifepod carrying the two terrified robots | Scene: the tiny lifepod ejects from the disabled ship.  IMPERIAL STAR | Action: The safety door snaps shut, and with the thunder of exploding latches the tiny lifepod ejects from the disabled ship. INT. IMPERIAL STAR | Star Wars A New Hope
HOLD AREA | It is dim inside the hold area of the Sandcrawler. Artoo switches on a | Scene: main cabin of the behemoth transport.  SANDCRAWLER – | Action: The filthy little Jawas scurry like rats up small ladders and enter the main cabin of the behemoth transport. INT. SANDCRAWLER – | Star Wars A New Hope
PRISON AREA | Artoo enters a wide room with a four-foot ceiling. In the middle of the | Scene: be a door at the end of the chamber.  SANDCRAWLER – | Action: pathetic electronic whimper and stumbles off toward what appears to be a door at the end of the chamber. INT. SANDCRAWLER – | Star Wars A New Hope
SANDCRAWLER | Threepio and Artoo noisily bounce along inside the cramped prison | Scene: SECOND TROOPER Look, sir – droids.  TATOOINE – DUNES | Action: SECOND TROOPER Look, sir – droids. EXT. TATOOINE – DUNES The Sandcrawler moves slowly down a great sand dune. INT. | Star Wars A New Hope
DINING AREA | Luke’s Aunt Beru, a warm, motherly woman, fills a pitcher with blue | Scene: THREEPIO No, I don’t like you either.  LARS HOMESTEAD – | Action: Artoo beeps. THREEPIO No, I don’t like you either. INT. LARS HOMESTEAD – | Star Wars A New Hope
HOMESTEAD | The giant twin suns of Tatooine slowly disappear behind a distant | Scene: OWEN That’s what I’m afraid of.  TATOOINE – LARS | Action: father in him. OWEN That’s what I’m afraid of. EXT. TATOOINE – LARS | Star Wars A New Hope
PLAZA | Morning slowly creeps into the sparse but sparkling oasis of the open | Scene: THREEPIO Oh, he excels at that, sir.  LARS HOMESTEAD – | Action: LUKE You know that little droid is going to cause me a lot of trouble. THREEPIO Oh, he excels at that, sir. INT. LARS HOMESTEAD – | Star Wars A New Hope
DAY | Artoo forces himself into the shadows of a small alcove in the rocks | Scene: shrieking laugh.  TATOOINE – ROCK CANYON – FLOOR – | Action: Raider stands over him with his weapon raised and lets out a horrible shrieking laugh. EXT. TATOOINE – ROCK CANYON – FLOOR – | Star Wars A New Hope
DAY | Little Artoo stands at the edge of a large sand pit and begins to | Scene: LUKE … Threepio!  TATOOINE – SAND PIT – ROCK MESA – | Action: Luke to remember something. He looks around. LUKE … Threepio! EXT. TATOOINE – SAND PIT – ROCK MESA – | Star Wars A New Hope
CANTINA | The young adventurer and his two mechanical servants follow Ben | Scene: THREEPIO Come along, Artoo.  TATOOINE – MOS EISLEY – | Action: LUKE I’m ready for anything. THREEPIO Come along, Artoo. INT. TATOOINE – MOS EISLEY – | Star Wars A New Hope
CONTROL ROOM | VADER Her resistance to the mind probe is considerable. It will be | Scene: Several TIE fighters approach the Death Star.  DEATH STAR – | Action: HAN Sorry about the mess. EXT. SPACE Several TIE fighters approach the Death Star. INT. DEATH STAR – | Star Wars A New Hope
STREET | Four heavily-armed stormtroopers move menacingly along a narrow | Scene: TROOPER With pleasure.  TATOOINE – MOS EISLEY – | Action: TROOPER With pleasure. EXT. TATOOINE – MOS EISLEY – slum alleyway crowed with darkly clad creatures hawking exotic | Star Wars A New Hope
MILLENNIUM FALCON | HAN Chewie, get us out of here! | Action: the stormtroopers to dive for safety. The pirateship engines whine as Han hits the release button that slams the overhead entry shut. INT. | Star Wars A New Hope
PLANET TATOOINE | Han frantically types information into the ship’s computer. Little Artoo | Scene: away as he points to something on the radar scope.  SPACE – | Action: The Corellian pirateship zooms from Tatooine into space. INT. appears momentarily at the cockpit doorway, makes a few beeping | Star Wars A New Hope
COCKPIT | The ship shudders as an explosion flashes outside the window. | Scene: Imperial cruisers fire at the pirateship.  MILLENNIUM FALCON – | Action: Imperial cruisers fire at the pirateship. INT. MILLENNIUM FALCON – HAN Here’s where the fun begins! | Star Wars A New Hope
DEATH STAR | Admiral Motti enters the quiet control room and bows before | Scene: Alderaan looms behind the Death Star battlestation.  DEATH | Action: Alderaan looms behind the Death Star battlestation. INT. DEATH Governor Tarkin, who stands before the huge wall screen displaying | Star Wars A New Hope
COCKPIT | HAN Stand by, Chewie, here we go. Cut in the sublight engines. | Scene: light show surrounds the ship.  MILLENNIUM FALCON – | Action: The pirateship is just coming out of hyperspace; a strange surreal light show surrounds the ship. INT. MILLENNIUM FALCON – | Star Wars A New Hope
COCKPIT | The tension mounts as the pirateship gains on the tiny fighter. In the | Scene: space after the Imperial TIE fighter.  MILLENNIUM FALCON – | Action: The pirateship zooms over the camera and away into the vastness of space after the Imperial TIE fighter. INT. MILLENNIUM FALCON – | Star Wars A New Hope
HALLWAY | A line of stormtroopers march toward the pirateship in readiness to | Scene: Stormtroopers run to their posts.  DEATH STAR – HANGAR | Action: Stormtroopers run to their posts. INT. DEATH STAR – HANGAR board it, while other troopers stand with weapons ready to fire. | Star Wars A New Hope
