character,character_normalized,dialogue,context,character_state,dialogue_type,motivation,line_number,scene,movie,word_count,sentiment
THREEPIO,C-3PO,Did you hear that? They’ve shut down the main reactor.,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,31,Unknown,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,We’re doomed!,"Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,35,Unknown,Star Wars A New Hope,2,neutral
THREEPIO,C-3PO,There’ll be no escape for the Princess this time.,"Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,38,Unknown,Star Wars A New Hope,9,negative
THREEPIO,C-3PO,What’s that? EXT. SPACECRAFT IN SPACE,"Protocol droid formality, worry",Inquisitive,Question,Seeking information,42,Unknown,Star Wars A New Hope,6,neutral
THREEPIO,C-3PO,I should have known better than to trust the logic of a,"Protocol droid formality, worry",Resistant/Negative,Statement,Opposing,56,Unknown,Star Wars A New Hope,12,negative
LUKE,Luke Skywalker,Hurry up! Come with me! What are you waiting for?! Get in,"Jedi training, heroic journey",Urgent/Commanding,Exclamation,Assertive,77,Unknown,Star Wars A New Hope,12,neutral
RUNNER,Runner,– MAIN HALLWAY,General conversation,Urgent/Commanding,Exclamation,Assertive,83,Unknown,Star Wars A New Hope,3,neutral
THREEPIO,C-3PO,"Artoo! Artoo-Detoo, where are you?","Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,98,Unknown,Star Wars A New Hope,5,neutral
THREEPIO,C-3PO,At last! Where have you been?,"Protocol droid formality, worry",Urgent/Commanding,Exclamation,Assertive,105,Unknown,Star Wars A New Hope,6,neutral
THREEPIO,C-3PO,They’re heading in this direction. What are we going to,"Protocol droid formality, worry",Neutral,Statement,Conversational,107,Unknown,Star Wars A New Hope,10,neutral
THREEPIO,C-3PO,"Wait a minute, where are you going?","Protocol droid formality, worry",Inquisitive,Question,Seeking information,112,Unknown,Star Wars A New Hope,7,neutral
RUNNER,Runner,– CORRIDOR,General conversation,Urgent/Commanding,Exclamation,Assertive,114,Unknown,Star Wars A New Hope,2,neutral
IMPERIAL,Imperial,OFFICER The Death Star plans are not in the main,General conversation,Resistant/Negative,Statement,Opposing,118,Unknown,Star Wars A New Hope,10,negative
VADER,Darth Vader,Where are those transmissions you intercepted? [What have,"Dark Side presence, Imperial authority",Inquisitive,Question,Seeking information,121,Unknown,Star Wars A New Hope,8,neutral
REBEL,Rebel,OFFICER We intercepted no transmissions. Aaah… This is a,General conversation,Resistant/Negative,Statement,Opposing,124,Unknown,Star Wars A New Hope,9,negative
VADER,Darth Vader,If this is a consular ship… where is the Ambassador?,"Dark Side presence, Imperial authority",Inquisitive,Question,Seeking information,126,Unknown,Star Wars A New Hope,10,neutral
VADER,Darth Vader,"Commander, tear this ship apart until you’ve found those","Dark Side presence, Imperial authority",Neutral,Statement,Conversational,131,Unknown,Star Wars A New Hope,9,neutral
BLOCKADE,Blockade,RUNNER – SUBHALLWAY,General conversation,Urgent/Commanding,Exclamation,Assertive,134,Unknown,Star Wars A New Hope,3,neutral
TROOPER,Trooper,There she is! Set for stun!,General conversation,Urgent/Commanding,Exclamation,Assertive,140,Unknown,Star Wars A New Hope,6,neutral
